#GeneID,a1,b1,g1,GOF1,a2,b2,g2,GOF2,s1,f1,d1,s2,f2,d2,Rs,Rf,Rd,pSize,pFreq,pDuty,p-value,mu1,cv1,mu2,cv2
YJL204C,0.2121,2.3529,266.5975,9.26e-05,0.1887,4.1037,995.793,3.8e-05,121.1571,0.1938,0.0867,262.1216,0.1798,0.047,1.1134,-0.1077,-0.8831,0.0,3.4799999999999997e-15,0.0,1.0,19.0136,2.4992,33.5122,3.6589
YJL205C,0.2941,4.3844,246.4878,0.0018,0.3547,1.8606,48.6935,0.0016,59.6746,0.2747,0.0659,27.4956,0.2959,0.1653,-1.1179,0.1072,1.3258,0.0,7.54e-14,0.0,0.89,13.0378,2.6372,6.7969,1.8793
YJL206C,0.1744,3.93,773.2255,1.22e-05,0.2049,6.4614,378.1869,6.15e-12,215.3743,0.1663,0.0462,64.5547,0.1979,0.0335,-1.7383,0.2512,-0.4651,0.0,0.0,0.0,0.288,22.7774,4.4640,7.7822,5.6338
YJL207C,0.3567,4.1359,484.32,0.0253,0.3388,5.6974,1583.9113,0.5,124.2221,0.3272,0.083,295.795,0.319,0.0597,1.2517,-0.0369,-0.4757,0.0,0.0311,0.0,0.0758,36.397,1.7904,79.9225,2.2585
YJL208C,0.272,11.7989,211.1466,3.01e-08,0.2011,2.2812,335.385,0.000155,19.2917,0.2654,0.024,157.9861,0.1838,0.0859,3.0337,-0.5299,1.8417,0.0,0.0,0.0,0.0128,2.9949,8.1115,21.5964,2.8232
YJL209W,0.196,4.4829,2144.1147,5.47e-06,0.1854,1.499,522.2694,2.55e-05,522.599,0.1872,0.0453,366.8176,0.1641,0.1139,-0.5106,-0.19,1.3296,0.0,0.0,0.0,0.642,78.9303,2.8117,49.4514,2.2872
YJL210W,0.2852,3.808,787.2127,0.0102,0.2219,2.7736,459.7246,0.000222,219.6196,0.264,0.0741,177.6896,0.2046,0.0783,-0.3056,-0.3676,0.0796,0.0,0.0,0.000564,0.00318,53.4116,1.7761,31.0259,2.2507
YJL211C,0.3043,3.5786,90.3743,5.11e-06,1.5755,6.0685,3.4931,1.68e-05,26.9156,0.2791,0.0826,0.6287,1.2199,0.2247,-5.42,2.1281,1.4447,0.0,0.0,0.0,0.0114,6.0237,2.7101,0.6839,4.8368
YJL212C,0.1929,2.8554,592.1471,4.94e-07,0.1874,1.794,1496.2978,0.0441,224.5738,0.1799,0.0676,878.6143,0.1689,0.098,1.968,-0.0905,0.5363,0.0,5.89e-14,0.0,0.0115,32.5458,2.5977,127.8686,2.0650
YJL213W,0.1914,1.8658,1045.0921,3.3e-05,0.2032,3.5293,246.2398,2.3900000000000002e-08,594.1946,0.1727,0.0971,75.7331,0.1914,0.0582,-2.9719,0.1484,-0.738,0.0,0.0,0.0,3.99e-05,89.7411,2.1110,8.9068,4.3555
YJL214W,0.2045,6.447,562.3048,6.43e-06,0.43,6.6059,34.1044,4.16e-12,94.7996,0.1977,0.033,5.5579,0.4021,0.0646,-4.0923,1.024,0.9664,0.0,0.0,0.0,0.186,11.7895,5.1706,1.6374,4.9526
YJL215C,0.2722,11.7964,190.8693,2.99e-12,1.125,9.8306,7.5567,7.76e-10,17.5447,0.2657,0.0242,0.813,1.0003,0.1077,-4.4316,1.9129,2.1547,0.0,0.0,0.0,0.999,2.7418,8.0926,0.6794,7.9415
YJL216C,0.167,6.0519,1056.5074,8e-09,1.6355,4.9256,2.9161,8.11e-11,195.7256,0.1619,0.03,0.6404,1.1898,0.2631,-8.2557,2.8779,3.1315,0.0,0.0,0.0,0.963,18.1304,6.0724,0.663,5.1070
YJL217W,0.2455,1.9553,466.3865,0.000141,0.3672,1.6528,872.9044,0.421,254.3196,0.2165,0.1184,547.6646,0.299,0.1847,1.1067,0.4656,0.642,0.0,0.0,0.0,4.78e-06,52.6221,1.6283,166.1829,1.1355
YJL218W,20.8704,94.8614,0.2059,1.0,0.1968,4.3959,444.4871,9.549999999999999e-11,0.0022,16.0622,0.2165,110.7292,0.1876,0.0462,15.6013,-6.4196,-2.2292,0.0,0.0,0.0,0.248,0.022,6.6906,13.8028,4.1278
YJL219W,8.5521,14.1629,0.5825,0.00823,0.2933,13.6102,153.6148,2.9100000000000003e-10,0.0438,5.1521,0.3907,12.2593,0.2868,0.0226,8.1284,-4.1672,-4.1126,0.0,0.0,0.0,1.0,0.2005,8.8882,2.0991,8.8770
YJL220W,2.0515,9.4035,3.0971,6.82e-07,0.4113,1433.3456,373044.3541,0.0,0.3545,1.6515,0.1883,348.2628,0.408,0.0003,9.9401,-2.0171,-9.3524,0.0,0.0,0.0,0.972,0.5101,8.8521,0.0, nan
YJL221C,30.4383,107.2177,0.1468,-1.0,48.1346,526.3581,0.337,0.988,0.0014,23.329,0.2207,0.0007,43.9916,0.0845,-1.041,0.9151,-1.3853,0.0,0.0,0.0,1.0,0.0167,8.8882,0.0166,9.0000
YJL222W,0.3067,3.4493,57.3498,9.619999999999999e-08,0.2577,6.9245,196.5336,2.5e-14,17.9544,0.2805,0.0864,30.6396,0.2477,0.0384,0.7711,-0.1795,-1.1714,0.0,0.0,0.0,0.726,3.5742,3.4510,5.0743,4.9393
YJL225C,0.3267,3.5816,51.3958,5.77e-06,0.2544,8.4927,220.7462,6.709999999999999e-07,15.2063,0.2982,0.0871,28.0637,0.2465,0.031,0.884,-0.2744,-1.4886,0.0,0.0,0.0,0.842,3.4122,3.2321,4.4371,5.8655
YJR001W,0.2439,1.5664,1074.0818,0.0272,0.2345,1.8007,1104.419,0.0781,718.4439,0.2099,0.1387,643.3881,0.2066,0.1189,-0.1592,-0.023,-0.2217,1.25e-14,0.0291,0.0,0.61,148.5909,1.4543,122.6549,1.7585
YJR002W,0.1828,2.5614,748.4138,1.39e-06,0.2006,2.3385,1674.8308,0.0184,318.0214,0.1698,0.0709,757.5454,0.184,0.0821,1.2522,0.1156,0.2109,0.0,3.12e-20,2.7699999999999996e-26,0.00601,40.3572,2.9395,118.7741,2.1370
YJR003C,0.2604,6.422,226.582,1.4499999999999999e-08,0.2258,5.9589,624.9657,0.00148,38.4912,0.2497,0.0419,113.2331,0.217,0.0392,1.5567,-0.202,-0.0956,0.0,0.0,0.000294,0.127,6.6407,4.3064,16.7997,3.9711
YJR004C,0.2277,2.4878,162.5086,2.3600000000000002e-07,0.1782,3.0828,549.7699,1.07e-09,70.0453,0.2077,0.0881,191.8119,0.1679,0.0581,1.4533,-0.3064,-0.6016,0.0,0.0,0.0,0.86,10.3976,2.9985,19.7349,4.2068
YJR005C-A,0.2189,4.0554,240.1898,8.22e-07,0.5644,1429.8131,814327.3865,0.0,63.5443,0.2069,0.0545,942.5535,0.559,0.0004,3.8907,1.4335,-6.9628,0.0,0.0,0.0,0.0861,9.1989,3.8935,0.0, nan
YJR005W,0.2172,2.9907,1923.5942,0.0030800000000000003,0.1772,4.0502,2181.1762,3.65e-05,682.0072,0.2017,0.0708,578.1172,0.1693,0.0445,-0.2384,-0.2525,-0.6699,9.459999999999999e-23,0.0,0.0,0.0129,112.5628,2.3881,71.9968,3.4396
YJR006W,0.1957,1.2379,422.2594,0.00039,0.2048,1.5773,546.5254,0.00297,360.358,0.1681,0.1413,366.6386,0.1803,0.1194,0.0249,0.1007,-0.2427,0.203,1.72e-15,0.0,1.0,51.5384,1.9659,58.8693,1.9074
YJR007W,0.32,3.3737,1685.3267,0.504,0.5463,40.2158,15285.4297,0.346,531.3934,0.291,0.0909,394.2609,0.5391,0.0138,-0.4306,0.8893,-2.722,0.0,0.0,0.0,0.0028,133.5008,1.8470,207.155,1.2807
YJR008W,0.2297,0.9681,1021.8712,0.236,0.1662,5.9235,1503.7188,1.0900000000000001e-07,1106.1941,0.1845,0.1964,283.9602,0.1612,0.0303,-1.9618,-0.1952,-2.6969,0.0,0.0,0.0,2.1399999999999998e-10,184.2198,1.4366,26.8773,5.5796
YJR009C,0.9498,15.079,12761.059,0.141,1.6031,4.7511,6232.5428,0.971,872.5156,0.8921,0.0604,1348.4045,1.1963,0.2535,0.628,0.4233,2.0701,0.0,0.0,0.0,4.21e-08,771.8031,0.8891,1542.3824,0.6643
YJR010C-A,0.2681,3.3956,282.7316,3.98e-05,0.2519,1.8399,187.1197,0.00039,89.5786,0.2471,0.0781,108.036,0.2203,0.1258,0.2703,-0.1655,0.6879,0.0,0.0,0.0,0.669,18.331,2.3766,21.3565,1.8125
YJR010W,0.2453,2.9083,117.1536,7.92e-12,0.2311,3.8719,135.2394,2.2000000000000002e-08,44.0222,0.225,0.0832,38.5882,0.2168,0.0612,-0.1901,-0.0537,-0.4428,3.92e-11,8.97e-05,0.0,0.523,6.975,3.2362,5.2212,4.4497
YJR011C,0.2033,3.3656,420.365,4.54e-05,0.1966,2.7675,288.0296,3.8100000000000004e-07,134.4479,0.191,0.0604,112.971,0.1827,0.0711,-0.2511,-0.0644,0.2356,2.42e-20,1.13e-06,2.7e-22,0.317,18.9545,3.3522,14.7961,3.3439
YJR012C,0.2565,1.8883,260.213,0.0016699999999999998,0.257,3.4827,611.2905,0.004070000000000001,144.4084,0.225,0.1232,186.5113,0.2385,0.0719,0.3691,0.0842,-0.7767,0.0,5.64e-12,0.0,0.891,28.537,1.8266,35.3887,2.4394
YJR013W,0.1941,1.9277,431.5062,0.00134,0.2021,1.8473,484.576,0.0217,244.6083,0.1751,0.0987,278.7503,0.1813,0.1029,0.1885,0.0507,0.0603,1.68e-14,2.2e-05,0.00698,0.687,30.391,2.7105,39.4452,2.4957
YJR014W,0.3119,6.7587,1971.9127,0.247,0.3742,5.5509,2292.7404,0.0979,318.8363,0.2971,0.0489,433.5579,0.3495,0.0659,0.4434,0.2342,0.4305,0.0,0.0,0.0,0.0243,81.6711,2.3639,140.9123,1.8172
YJR015W,0.2681,11.7166,5929.4328,0.247,0.2505,2.0229,911.2202,0.0287,540.3386,0.2615,0.0247,473.7347,0.2219,0.1139,-0.1898,-0.2368,2.2069,1.69e-14,0.0,0.0,0.806,127.5235,2.7424,96.5565,1.7182
YJR016C,0.3029,2.7956,2254.3473,0.0958,0.7699,6.9356,5991.7021,0.0202,848.7602,0.2722,0.1013,891.6313,0.692,0.1012,0.0711,1.3461,-0.0007,2.96e-07,0.0,1.04e-05,5.04e-10,219.4983,1.4631,614.2229,0.8882
YJR017C,0.3327,1.9479,152.5791,0.086,0.4058,1.6965,525.5824,0.188,82.3573,0.2823,0.1513,323.4737,0.3254,0.1979,1.9737,0.2048,0.3878,0.0,0.0,0.0,4.46e-08,21.6536,1.4920,101.4297,1.1779
YJR018W,50.5769,472.9413,0.4657,1.0,21.2738,92.4044,0.6742,0.391,0.0011,45.4855,0.0997,0.0074,17.0681,0.1939,2.8104,-1.4141,0.9592,0.0,0.0,0.0,1.0,0.0336,6.2460,0.1135,6.8796
YJR019C,0.1932,3.0826,1521.2383,0.00264,0.1961,2.5399,370.3485,1.0300000000000001e-07,531.9386,0.1812,0.0626,157.8894,0.1812,0.0764,-1.7523,0.0003,0.2883,0.0,0.507,0.0,0.0116,74.5145,2.8034,20.9441,3.0588
YJR020W,0.4493,6.2731,32.2292,6.17e-11,4.3328,8.3661,1.3124,5.34e-08,5.4894,0.4173,0.0708,0.1708,2.7546,0.3521,-5.0063,2.7226,2.3132,0.0,0.0,0.0,0.844,1.7218,4.4991,0.4244,6.3184
YJR021C,0.2497,2.3074,120.8064,1.59e-05,0.2268,2.0446,197.9245,5.72e-06,55.8352,0.2242,0.1028,103.0078,0.2031,0.1044,0.8835,-0.1426,0.0228,0.0,1.6e-22,0.267,0.983,9.7717,2.5719,15.4304,2.6251
YJR022W,1.0298,1816.8182,2581.227,1.2e-15,25.5146,244.8617,0.3215,1.0,1.3691,1.0257,0.0006,0.0016,22.8511,0.1097,-9.7418,4.4775,7.456,0.0,0.0,0.0,1.0,0.0, nan,0.0205,9.0000
YJR023C,31.1016,197.3827,0.3327,1.0,27.5605,385.9237,0.8961,-1.0,0.0018,26.8236,0.1395,0.0024,25.6007,0.0701,0.3975,-0.0673,-0.992,5.439999999999999e-22,2.9199999999999997e-07,0.0,1.0,0.0344,5.8678,0.0531,5.1326
YJR024C,0.2506,2.1124,621.4969,0.00579,0.2666,1.705,494.2771,0.0285,310.8335,0.223,0.11,303.618,0.2293,0.1394,-0.0339,0.0402,0.3423,0.11,0.000166,0.0,0.981,63.764,1.6597,66.1005,1.5275
YJR025C,0.3629,4.3444,1098.8114,0.653,0.2257,3.7222,583.1344,0.0244,268.5829,0.3337,0.0807,166.7622,0.2123,0.0601,-0.6876,-0.6529,-0.4245,0.0,0.0,0.0,7.43e-08,81.9933,1.6174,28.788,2.5164
YJR027W,0.834,12.8458,3679.8711,0.243,0.9853,41.5782,15152.2546,0.559,297.0395,0.7825,0.0622,376.3786,0.9617,0.0236,0.3415,0.2974,-1.3986,0.0,0.0,0.0,0.00722,222.1062,1.2610,353.0213,1.0667
