#GeneID	a1	b1	g1	GOF1	a2	b2	g2	GOF2	s1	f1	d1	s2	f2	d2	Rs	Rf	Rd	pSize	pFreq	pDuty	p-value	mu1	cv1	mu2	cv2

ERCC-00002	2.5830	23.6623	39175.7205	4.6800e-01	2.2706	32.0032	64697.1241	3.8400e-01	1700.2257	2.3286	0.0988	2082.5273	2.1195	0.0666	0.2926	-0.1358	-0.5697	0.0000e+00	2.4200e-15	0.0000e+00	4.1100e-01	3852.3831	0.6141	4287.7258	0.6923
ERCC-00003	0.5827	1.7882	933.4753	8.3700e-01	0.8644	40.9190	14114.2858	3.2600e-01	538.3832	0.4372	0.2485	357.0185	0.8464	0.0212	-0.5926	0.9532	-3.5496	0.0000e+00	0.0000e+00	0.0000e+00	3.8400e-01	244.8168	0.8503	292.1688	1.2953
ERCC-00004	2.6401	37.0066	11689.3537	7.9200e-01	2.0335	36.9599	17289.2057	8.7300e-01	326.8691	2.4656	0.0671	480.4559	1.9253	0.0526	0.5557	-0.3569	-0.3496	0.0000e+00	0.0000e+00	0.0000e+00	3.4500e-01	776.6287	0.5744	905.0418	0.7058
ERCC-00009	0.3429	1.8003	1577.5061	8.1400e-02	0.2697	1.6263	2038.9261	8.9700e-02	913.2717	0.2868	0.1630	1306.9600	0.2303	0.1454	0.5171	-0.3164	-0.1649	0.0000e+00	0.0000e+00	0.0000e+00	4.0700e-01	268.8058	1.0780	281.4002	1.4451
ERCC-00012	32.3159	285.5490	0.4797	9.8500e-01	14.4247	593.8837	3.2498	9.8800e-01	0.0017	28.7959	0.1031	0.0051	14.0059	0.0252	1.6084	-1.0398	-2.0324	0.0000e+00	0.0000e+00	0.0000e+00	9.7200e-01	0.0335	6.2581	0.0000	 nan
ERCC-00014	35.8005	107.1250	0.3199	1.0000e+00	33.1896	240.4200	0.5786	1.0000e+00	0.0031	26.4265	0.2443	0.0024	28.6706	0.1290	-0.3523	0.1176	-0.9215	5.2700e-10	6.5900e-20	0.0000e+00	1.0000e+00	0.0617	4.3713	0.0599	4.7702
ERCC-00016	19.1915	289.1891	0.5845	1.0000e+00	34.2641	282.4287	0.2899	1.0000e+00	0.0020	17.8230	0.0654	0.0011	30.4665	0.1098	-0.9582	0.7735	0.7472	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0244	8.8882	0.0170	7.7157
ERCC-00017	21.7218	190.8142	0.2494	9.8600e-01	10.3084	918.1254	173.2568	0.0000e+00	0.0015	19.4532	0.1087	0.1029	9.9255	0.0196	6.1258	-0.9708	-2.4728	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	0.0161	8.8882	0.0000	 nan
ERCC-00019	0.2161	3.0973	190.0732	2.1200e-08	0.1921	5.7139	582.4589	7.8000e-09	66.1099	0.2011	0.0690	112.8491	0.1853	0.0355	0.7715	-0.1179	-0.9562	0.0000e+00	6.6900e-18	0.0000e+00	1.0000e+00	9.3195	3.4491	12.6143	5.1787
ERCC-00022	0.2314	1.4033	345.4597	5.1400e-03	0.2190	1.9467	892.6599	2.4200e-02	261.2830	0.1974	0.1469	488.5343	0.1958	0.1059	0.9028	-0.0117	-0.4711	0.0000e+00	6.7400e-01	0.0000e+00	6.6900e-01	46.4422	1.7494	83.2825	1.9470
ERCC-00024	35.5064	196.5382	0.1936	1.0000e+00	41.6491	438.9318	0.5269	1.0000e+00	0.0010	30.0015	0.1555	0.0012	38.0087	0.0869	0.2413	0.3413	-0.8391	7.0500e-08	0.0000e+00	0.0000e+00	1.0000e+00	0.0148	8.8882	0.0354	6.3266
ERCC-00025	0.1847	3.5874	435.6942	3.3200e-08	0.1650	2.0485	611.7860	3.2800e-07	132.5431	0.1751	0.0524	325.3416	0.1519	0.0794	1.2955	-0.2053	0.5975	0.0000e+00	0.0000e+00	0.0000e+00	8.7700e-01	15.3372	4.0313	31.9934	3.5072
ERCC-00028	18.6851	113.3714	0.8168	7.8800e-01	24.1285	124.9973	0.3129	1.0000e+00	0.0075	15.9616	0.1471	0.0027	19.7889	0.1811	-1.4607	0.3101	0.2995	0.0000e+00	0.0000e+00	4.9600e-11	3.8700e-01	0.1095	3.4639	0.0401	6.3547
ERCC-00031	15.9991	149.5823	0.4401	-1.0000e+00	0.3199	14.5536	138.7043	1.2800e-09	0.0032	14.4032	0.0986	10.3540	0.3126	0.0231	11.6628	-5.5259	-2.0929	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0326	5.9011	2.0104	8.5301
ERCC-00033	0.3432	15.3642	107.7616	2.8800e-11	41.9645	263.0493	0.2463	1.0000e+00	7.7172	0.3349	0.0238	0.0010	36.0549	0.1387	-12.9696	6.7503	2.5403	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	1.6343	8.8882	0.0224	9.0000
ERCC-00034	25.8241	304.8512	1.9379	1.8000e-01	0.2833	7.6434	103.7122	4.9600e-11	0.0068	23.6631	0.0790	14.6404	0.2725	0.0384	11.0811	-6.4402	-1.0389	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.1369	6.1632	2.4333	6.4891
ERCC-00035	0.1822	4.2647	1001.9931	7.7200e-06	0.1758	1.4534	352.8221	3.9800e-09	255.0609	0.1742	0.0440	258.4134	0.1560	0.1130	0.0188	-0.1591	1.3615	1.0600e-01	0.0000e+00	0.0000e+00	9.9500e-01	29.5752	3.8018	29.7862	2.6793
ERCC-00039	25.2021	209.4884	0.2680	9.8600e-01	22.1546	222.9103	0.3495	1.0000e+00	0.0013	22.2223	0.1160	0.0016	19.8397	0.0985	0.3041	-0.1636	-0.2348	1.2300e-05	0.0000e+00	6.7100e-25	1.0000e+00	0.0161	8.8882	0.0179	9.0000
ERCC-00040	14.8852	41.1743	0.0599	1.0000e+00	13.2517	107.2525	0.0053	1.0000e+00	0.0018	10.4348	0.3050	0.0001	11.6574	0.1167	-4.7611	0.1598	-1.3866	0.0000e+00	9.2700e-09	0.0000e+00	9.9900e-01	0.0022	8.8882	0.0000	 nan
ERCC-00042	0.3139	2.6640	1360.1846	2.1200e-02	0.2540	2.8468	2828.5667	6.9400e-02	538.9630	0.2798	0.1093	1054.7338	0.2324	0.0854	0.9686	-0.2677	-0.3568	0.0000e+00	0.0000e+00	0.0000e+00	4.8000e-01	141.8882	1.4138	218.7785	1.8860
ERCC-00043	0.4795	19.0321	5883.9373	5.0500e-01	0.4342	2.5458	1463.4918	2.3100e-01	322.4829	0.4675	0.0253	596.2897	0.3695	0.1489	0.8868	-0.3394	2.5559	0.0000e+00	0.0000e+00	0.0000e+00	3.3200e-01	148.1674	1.3156	211.7302	1.2799
ERCC-00044	0.1784	3.0895	485.3010	1.0800e-10	0.1792	3.5257	905.9170	4.8200e-10	170.4480	0.1679	0.0586	276.6175	0.1700	0.0515	0.6986	0.0182	-0.1873	0.0000e+00	2.7300e-01	3.7500e-11	8.1000e-01	19.1720	3.8679	34.9913	3.3346
