n_S,ksV,ksD,k2I,k2M,kn2M,kBM,knBM,k13I,k13IV,k13ID,k3A_c,k3I_c,k3I_n,k13_c,kn13_c,k13_n,kn13_n,k1in,k1out,k3inA,k3outA,k3inI,k3outI
13,3119.63938,0.286094262,6454.386345,30.47698674,0.014802891,0.014487517,3169.537825,0.170309295,2632.415716,0.066123259,0.17264738,37.23503768,0.02534631,25.09088948,460.4567031,9.803657358,15.8179215,0.030163091,0.42528833,2455.230531,1.43882756,418.6966255,1134.885743
3,0.16663395,0.513950492,28.39904323,1683.978726,0.198116833,0.196582455,653.2133592,0.666172294,7003.590466,770.6525322,0.205266756,0.063778983,0.105600333,1.175808937,74.627945,15.3175873,146.9722216,112.7377025,100.2300463,6.551832581,0.677923355,0.026614813,2.167211325
15,508.5555156,0.041004499,8878.022125,1205.499972,0.124638947,0.282758455,15.69670326,0.134402488,103.2341274,17.07698614,12.79604694,1.799027722,1.001805143,7691.860876,7158.220564,265.6895932,0.050153148,0.117408956,429.2543669,3179.246354,1224.049086,0.021053198,64.37152337
15,115.4527727,0.021172881,5.31304039,6059.935089,367.7563516,0.017963478,0.511716594,0.283174771,217.3674938,312.73596,5.555085029,0.05832342,0.02058206,5529.53686,167.7707604,15.10617983,1.254961647,8.640032555,6.347039198,0.697054884,0.015858974,0.228972695,1437.522054
9,7068.181519,0.161666855,7.497491563,341.1879593,0.721002125,0.04872156,78.7960927,4.71426987,3024.523216,2668.687055,0.524589721,0.024852202,0.048312273,0.525670476,92.27062209,4899.990105,712.9629263,23.18527294,2639.906947,15.6683035,7.781460589,6.002502069,1328.28412
1,360.5354854,25.82437908,1422.057667,93.52017587,0.163060206,0.517150077,3537.879343,0.082665217,53.40015974,6.202237995,3.185274038,0.117918162,0.102840241,14.10158469,131.6820292,5245.781,237.1222921,0.074633641,6.920745914,0.728666561,0.266463047,548.744768,1748.764795
7,2.295437596,1.584566402,0.601666153,328.4559855,0.106490847,0.377754005,5272.677565,7.964339478,4321.014434,0.130185868,0.526051404,0.778373813,0.174852476,99.09779734,7846.391623,0.518469044,0.059218722,2.972757899,650.7621598,5973.90541,12.03589174,0.044758298,5889.99965
7,73.09148605,0.209361728,19.61395186,8304.740034,0.093697856,5.868270769,7696.281587,8.659162016,135.1721059,0.387519962,0.177738241,0.264900448,0.022429907,36.74787345,1236.247354,0.227130236,0.015760227,0.759310349,43.13693578,6692.436161,262.3829499,1.077641667,8340.162228
7,0.770372483,0.068754294,0.02397963,400.0235418,0.018589842,1.636818196,954.8929126,1.262185272,889.100058,0.095346041,0.734415659,0.315710552,0.33789732,4.109754089,142.0722534,0.060569726,0.053830851,474.4791092,8079.75744,8.741198021,0.169521351,270.8068228,7611.731633
15,4.312370684,0.032273654,10.78914569,0.65505917,1.181788387,0.030444321,902.4904589,3.191481056,2698.92075,42.51630513,11.83472468,0.015626171,2556.736439,3159.043367,8409.703141,318.4981185,112.955003,252.7705058,2695.030208,6.381548238,0.033327481,0.036743973,0.192483045
5,12.10464704,0.036126269,59.98782819,150.5585206,0.058926215,1.05559524,36.29369197,0.470418681,7678.819995,5628.135512,3.102182561,2.595127036,0.088979892,7.357790235,121.0151988,417.7993271,254.0339149,2.466835938,26.73894401,0.812135552,0.154122974,98.80872208,249.3032727
15,1570.22955,0.017726424,292.4822002,884.9613114,1.688414363,12.33005729,745.7706593,0.476544034,147.5282936,203.797276,0.479504462,1.088516781,0.011223636,3968.235367,1510.911614,0.566562065,0.48776644,10.89659375,20.34840169,6479.032859,26.94925687,4.866773527,7.001131407
9,167.5676672,0.011096102,282.1028449,2.094020079,0.048454903,3.671834605,5519.138224,2.775165429,342.2082761,2.662737586,2.438033863,0.166622848,0.015085912,19.05866167,134.0417701,2.025783931,7.22288239,0.020586435,0.028829228,0.408226406,0.020229796,0.980602863,53.89089042
7,12.87239183,0.073201698,0.236660222,9238.439774,5.640313462,1.505618293,153.3262162,1.604981858,2061.659592,1801.55805,0.607155712,36.45990429,0.068554635,926.8289951,4109.606371,15.33989991,2.322890888,0.226240613,8.081438814,352.3942595,1.11563115,2.76885933,40.72417186
3,22.23303906,0.227229641,147.1977568,1631.892181,0.126446503,4.039983595,6923.242445,0.06918032,7141.167844,1820.670534,10.02731588,0.017711087,1.366512502,2391.844363,4288.930324,0.207501407,0.506834689,0.019367117,0.025127334,52.73068174,5.532401112,0.231242516,2289.51656
15,6921.145927,0.084632032,2.067893479,2274.737496,0.043220897,984.1285167,119.2717294,1.034347704,186.2471058,167.7353394,0.238603094,0.81807364,0.025702345,1482.181048,3655.931824,157.8512935,7.603022707,0.124552508,2.616926266,4032.649874,212.4950984,0.435283463,15.38613933
1,1154.86079,61.734908,1.583291062,20.67730912,5.668090424,0.013767841,684.1231127,0.032120715,472.3705667,16.3574693,11.96363582,0.173348485,0.680991485,7124.655426,528.708368,567.2132353,0.389560551,0.258301498,7.83831343,3.275534179,1.289532524,0.072099279,7.319070934
15,1932.374785,0.019864363,160.7414304,235.9660501,0.032547875,14.84679218,1933.371845,0.561183295,430.1066123,26.8555436,0.50375309,0.017730982,0.087374469,4535.004589,1422.104796,1.843777637,0.017134119,0.46706915,22.09089044,792.9532754,1.449993912,0.068554603,2.571447549
13,3373.662485,0.121376976,9000.727157,1473.190898,0.154712253,286.0644821,8822.125344,0.029036719,3744.283861,23.60344298,75.72597243,156.4758481,0.316006838,1457.581708,3344.74806,178.1325754,2440.740471,313.5745773,436.6932515,41.05454145,0.086319575,0.255348576,14.3018519
9,0.013153484,0.186470978,1.285525405,1453.592687,0.822611321,0.019633749,1340.010162,5.627847488,2813.823828,54.75264758,1.684678564,5.154427137,0.012055141,64.3526501,8376.696199,0.029866048,0.145112795,0.213740315,2.533170365,5660.690911,99.79619832,0.115840038,0.169425098
13,87.27250579,0.087705441,0.071701462,0.114491386,0.011929785,6.155092444,1507.729099,4.311414286,1397.168634,577.4649848,0.425756655,0.89841259,0.031318155,3292.594999,940.8783703,1486.880476,242.5397294,0.011145665,0.051939788,1090.68462,1.623028106,0.015069633,0.707479288
3,1.141304091,0.283173426,0.22349043,1082.27653,61.00962215,0.155539945,31.77063806,13.74849982,4016.248366,2350.056955,15.98056901,12.49069543,0.357290282,650.7430319,1047.553539,3.141118578,1.135850678,219.7976919,815.3763052,16.27326922,2.839137543,0.171207137,149.5559114
5,2554.250845,0.214114091,7.70845654,9382.497867,28.1489897,155.512156,6136.006006,0.604935516,1272.896446,276.7660241,0.331721321,0.010078832,0.01041362,1274.595895,2434.410319,1401.692434,6.486954897,0.058676446,52.94479727,104.7980001,0.052571436,0.035202506,92.64637735
5,112.7900472,0.081797049,3711.605769,9917.706873,0.025250153,0.061359498,354.5443868,0.847163598,2070.44712,0.064403733,15.17434291,1.766467491,0.039079957,5537.736321,6001.008551,848.5405817,48.6277064,0.222299982,3.768521791,0.192481493,0.012933353,0.233187631,3.370464175
11,0.042150627,0.022025019,0.091266094,61.14154766,0.01332663,0.05066782,4.289533888,0.271880986,2038.652639,192.9955315,3.057521536,0.010739449,0.133883096,7104.044158,4967.387478,2.088082235,1.954389796,27.63406717,51.53753727,4892.892252,30.46183372,0.194992338,24.51609642
7,251.9027695,0.019176177,726.9084008,4524.032445,0.126100831,0.130810099,1.778334201,2.736527928,4466.960711,105.952242,0.154681411,0.013766138,0.015133563,9326.278779,3768.938077,3.3483925,0.316546015,182.1987886,1257.549157,224.1803348,0.263049094,0.036962381,71.57115756
9,243.5209422,0.566234628,0.280803747,9819.915514,0.012342115,3.776441728,2.087824829,0.480963786,210.8676242,873.3377053,0.171543732,0.014458343,0.047176855,10.26949009,40.4962132,448.3169943,0.157967698,0.042303421,216.1145153,1.822882657,0.021808222,0.448849344,220.8549342
15,0.120785247,0.094474391,0.785628162,112.5553969,0.021292462,0.021850271,0.838298205,0.017382495,440.1474768,183.3486865,3.081162055,0.098767751,0.159091453,496.5425607,449.7083209,326.2453565,5.249197218,8.358242648,802.7137512,8472.185659,116.5905513,0.07358685,1.725088204
11,1613.98619,0.099880578,0.018779831,2002.194554,89.39865569,0.018558243,684.178911,1.612827887,2821.541941,0.651708371,45.25728341,0.071128216,0.670912232,201.4464875,322.757005,25.10890577,0.021004825,0.139490544,183.3999414,3.397029391,0.308152659,0.017474302,159.1620796
5,1774.512396,0.015037274,9.228003987,146.8229595,0.590806283,3.206601951,1578.914222,6.2227807,6656.42717,1212.031942,7.943692367,0.525486587,0.096046797,786.8528201,7688.171274,674.9613132,0.498132285,0.025380334,1184.715359,16.48515035,0.027941669,1.233668339,744.5810357
3,0.941351698,0.39993057,2.544307258,7531.776605,8.263315843,16.59671152,4704.391816,1.040952968,2439.869325,1394.135663,22.31647631,0.012182017,0.15096226,1172.648327,3804.00513,0.62136483,0.013691129,0.038538781,15.40694502,863.5592695,28.29726451,0.902444402,226.4864073
9,544.0268955,0.019863775,0.362100824,4013.342811,2.846991461,0.171068146,160.6039994,3.825696019,8216.211563,657.6467503,0.113510535,0.014039534,0.011795357,14.16350417,58.24731853,35.97092519,13.89008929,0.166932238,1.126766097,5604.572402,45.57915936,5.049924408,127.4066337
5,0.018986675,0.264916319,33.46844609,5884.339136,0.03852957,0.956026931,8.631231788,0.125374568,87.64294729,165.8513218,0.234826726,0.068151695,0.014113681,462.7389492,216.6666531,97.91985725,0.030755785,1.331265779,3883.243095,11.36864655,0.060341422,295.8906684,436.1921514
3,50.41411152,0.05132528,8.313910481,73.27901351,0.014608996,15.61997188,3246.321528,0.103696696,150.2711978,11.35056638,0.349140175,0.010728252,0.018422251,5077.910735,5597.21534,1963.306748,520.9153236,2.232503847,1.866373302,2444.370204,491.069798,0.475864272,220.2319491
13,2.186463102,0.01121306,371.0139153,7281.953567,0.043162858,0.152721379,44.95615253,0.036599521,18.15307519,3.058909776,0.629678421,0.040057587,0.064282358,3.655367366,184.3270633,37.0963066,3.04254631,4.712808623,1607.206547,40.53244387,6.276817611,0.149681922,2.520825646
15,0.424929182,0.049071765,0.092100386,3275.998474,0.771349383,0.010403142,4396.322339,0.357338006,523.4853389,0.558560419,0.769718856,0.624337019,0.081186304,30.19549787,22.38870879,1709.654426,138.132005,2.044265762,56.22602935,2502.101173,47.73736272,0.279451898,141.5158985
3,1935.202851,10.02585599,455.0672787,2772.342658,0.33401439,0.140880506,5.483100963,0.155754698,914.1763657,1278.894664,8.720510918,0.049665683,0.141281569,1960.318475,38.02557826,308.0238608,0.382763473,0.022571513,0.891071407,94.96368554,12.7933886,0.237539363,1726.634318
3,35.75958026,0.627505672,0.012869593,1426.496325,1.247316973,0.018134326,6078.622744,0.12546823,9906.953701,0.290711294,449.3468217,0.025333092,0.231506423,546.4446856,4516.332848,0.186481714,0.384141834,0.200226109,0.679683013,287.9000411,89.78515306,0.057707942,46.01395849
9,5.428053193,3.186709211,6.740179771,8937.585399,0.011653829,0.015760359,702.1689937,0.149869985,6113.487798,15.83511525,1.523089602,37.61962233,0.02025666,8685.05761,1676.788762,2.378218144,0.825379114,9.38347283,22.19040869,24.19481409,0.029996562,0.288465155,0.83908463
